"Oh, right
","Och, racja"
"Is it ok ?
","Czy to jest w porządku ?"
"yeayh, sure
","yeayh, jasne"
"Say something
","Powiedz coś"
"That's it
","To jest to"
"Just minute
",Chwileczkę
"What else do you like
","Co jeszcze lubisz"
"Well, I don't like noise
","Cóż, nie lubię hałasu"
"Paint it room
","Pomaluj pokój"
"Are you sure ?
","Jesteś pewny ?"
"You go out
","Ty wyjdź"
"Enjoy your lunch and leave it with us
","Zjedz lunch i zostaw to u nas"
"Not on this road
","Nie na tej drodze"
"Ask someone
","Zapytaj kogoś"
"Hang on - poczekaj
","Poczekaj - poczekaj"
"Go straight on - idź prosto
","Idź prosto - idź prosto"
"go down the road - idź wzdłuż drogi
","idź w dół - idź wzdłuż drogi"
"How about this?
","Co powiesz na to?"
"There are over there
","Tam są"
"I love it
","kocham to"
"It looks great
","Wygląda świetnie"
"Finished ?
","Skończone ?"
"I really like this colour
","Naprawdę lubię ten kolor"
"We're up there
","Jesteśmy na górze"
"Can I go in ?
","Mogę wejść ?"
"Next time, Helen dn't ask for help. Do it yourself
","Następnym razem Helen nie prosi o pomoc. Zrób to sam"
"In two days ?
","W dwa dni ?"
"Did you hear ?
","Słyszałeś ?"
"It's Jane's birthday on Saturday
","W sobotę są urodziny Jane"
"Why don't we have a party ?
","Dlaczego nie mamy przyjęcia?"
"Let see it
","Zobacz to"
"Where did you get it ?
","Skąd to masz ?"
"She's early - wcześnie
","Jest wcześnie - wcześnie"
"Usually at half past six..after her game of tennis
","Zazwyczaj o wpół do szóstej po jej grze w tenisa"
"Talk to her
","Mów do niej"
"What do you want me to talk about ?
","O czym mam rozmawiać?"
"Did you have a nice day ?
","Czy miałeś dobry dzień ?"
"What did you do?
","Co zrobiłeś?"
"I went shopping 
","poszedłem na zakupy"
"What else did you do ?
","Co jeszcze zrobiłeś ?"
"then - zatem / w takim razie
","wtedy - tym / w takim razie"
"Ok, then. See you at 7.30 Bye
","Ok, więc. Do zobaczenia o 7.30 do widzenia"
"Are you free this evening ?
","Czy jesteś wolny w ten wieczór ?"
"Julia ? When did you meet her ?
","Julia? Kiedy ją spotkałeś?"
"Which one ?
","Który ?"
"It's very cheap
","To jest bardzo tanie"
"Well, I hope you and Julia have a great time
","Mam nadzieję, że ty i Julia świetnie się bawiliście"
"I'll come with you
","pójdę z tobą"
"Have a nice evening
","Miłego wieczoru"
"Can we go somewhere else ?
","Czy możemy pójść gdzie indziej?"
"Where would you like to go ?
","Gdzie chciałbyś pójść ?"
"What's the problem ?
","Jaki jest problem ?"
"Don't mention it
","Nie wspominaj o tym"
"It's really lovely here, thanks, David
","Tutaj jest naprawdę cudownie, dzięki, David"
"Oh dear. Can you ring for a taxi ?
","O jej. Czy możesz zadzwonić po taksówkę?"
"Matt can meet you
","Matt może cię poznać"
"Close Encounters - bliskie spotkania
","Close Encounters - bliskie spotkania"
"What does he look like ?
","Jak on wygląda ?"
"Where is he ?
","Gdzie on jest ?"
"Sorry about that
","Przepraszam za to"
